"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",647.723,0.00669548,22.9065,8.41671,0,"Best Fit"
"2",1294.41,504965,31.244,14.4702,0,"0"
"3",665.619,0.000494526,27.0789,7.56331,0,"0"
"4",647.723,0.0070925,22.9065,8.41671,0,"Best Fit"
"5",647.723,0.00800149,22.9065,8.41671,0,"Best Fit"
"6",651.624,0.00971614,21.9785,8.01605,0,"0"
"7",647.723,0.00727576,22.9065,8.41671,0,"Best Fit"
"8",6629.94,2048920,38.2122,75.8802,3,"0"
"9",665.459,0.381964,27.0836,7.43869,0,"0"
"10",653.26,0.00429164,21.9397,7.95465,0,"0"
"11",647.723,0.00253223,22.9065,8.41671,0,"Best Fit"
"12",647.723,0.00826929,22.9065,8.41671,0,"Best Fit"
"13",647.723,0.0120817,22.9065,8.41671,0,"Best Fit"
"14",647.723,0.00106392,22.9065,8.41671,0,"Best Fit"
"15",647.723,0.000473258,22.9065,8.41671,0,"Best Fit"
"16",647.723,0.0116302,22.9065,8.41671,0,"Best Fit"
"17",647.723,0.000513414,22.9065,8.41671,0,"Best Fit"
"18",663.564,2266.88,27.2596,8.03951,1,"0"
"19",652.781,0.000884887,22.1635,8.04725,0,"0"
"20",660.784,0.0139756,27.253,8.10696,0,"0"
"21",653.412,0.00197276,21.9905,7.91225,0,"0"
"22",647.723,0.000968458,22.9065,8.41671,0,"Best Fit"
"23",647.723,0.00377218,22.9065,8.41671,0,"Best Fit"
"24",647.723,0.0062212,22.9065,8.41671,0,"Best Fit"
"25",647.723,0.00462269,22.9065,8.41671,0,"Best Fit"
"26",647.723,0.00217642,22.9065,8.41671,0,"Best Fit"
"27",647.723,0.00687538,22.9065,8.41671,0,"Best Fit"
"28",647.723,0.00113633,22.9065,8.41671,0,"Best Fit"
"29",647.723,0.0455614,22.9065,8.41671,0,"Best Fit"
"30",660.784,0.00409309,27.253,8.10696,0,"0"
"31",647.723,0.00448606,22.9065,8.41671,0,"Best Fit"
"32",660.784,0.000504287,27.253,8.10696,0,"0"
"33",647.723,0.000133846,22.9065,8.41671,0,"Best Fit"
"34",647.723,0.000435346,22.9065,8.41671,0,"Best Fit"
"35",647.723,0.00594109,22.9065,8.41671,0,"Best Fit"
"36",647.723,0.00228171,22.9065,8.41671,0,"Best Fit"
"37",647.723,0.000380085,22.9065,8.41671,0,"Best Fit"
"38",647.723,0.00462407,22.9065,8.41671,0,"Best Fit"
"39",647.723,0.0154139,22.9065,8.41671,0,"Best Fit"
"40",647.723,0.0149507,22.9065,8.41671,0,"Best Fit"
"41",647.723,0.000654234,22.9065,8.41671,0,"Best Fit"
"42",647.723,0.000536618,22.9065,8.41671,0,"Best Fit"
