# file extracted 22 June 2023 from https://reports.psmfc.org/pacfin/f?p=501:5302:16067970531079:::::,,,,,,
SPECIFICATION_TYPE,SPECIFICATION_NAME,YEAR,VAL,STOCK_NAME,AREA_NAME,OUTPUT_ORDER
OFL,Overfishing Limit,2011,1021,Petrale Sole,CW,1
OFL,Overfishing Limit,2018,3152,Petrale Sole,CW,1
OFL,Overfishing Limit,2014,2774,Petrale Sole,CW,1
OFL,Overfishing Limit,2016,3044,Petrale Sole,CW,1
OFL,Overfishing Limit,2019,3042,Petrale Sole,CW,1
OFL,Overfishing Limit,2015,2946,Petrale Sole,CW,1
OFL,Overfishing Limit,2020,2976,Petrale Sole,CW,1
OFL,Overfishing Limit,2012,1279,Petrale Sole,CW,1
OFL,Overfishing Limit,2017,3280,Petrale Sole,CW,1
OFL,Overfishing Limit,2013,2711,Petrale Sole,CW,1
OFL,Overfishing Limit,2022,3935.66,Petrale Sole,CW,1
OFL,Overfishing Limit,2021,4401.54,Petrale Sole,CW,1
OFL,Overfishing Limit,2023,3763,Petrale Sole,CW,1
OFL,Overfishing Limit,2024,3563,Petrale Sole,CW,1
ABC,Acceptable Bio Catch,2011,976,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2018,3013.312,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2014,2652,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2016,2910,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2019,2908.152,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2015,2816,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2020,2845.056,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2012,1222,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2017,3135.68,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2013,2592,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2022,3660.1638,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2021,4115.4399,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2023,3484.538,Petrale Sole,CW,2
ABC,Acceptable Bio Catch,2024,3285.086,Petrale Sole,CW,2
ACL,Annual Catch Limit,2011,976,Petrale Sole,CW,3
ACL,Annual Catch Limit,2018,3013,Petrale Sole,CW,3
ACL,Annual Catch Limit,2014,2652,Petrale Sole,CW,3
ACL,Annual Catch Limit,2016,2910,Petrale Sole,CW,3
ACL,Annual Catch Limit,2019,2908,Petrale Sole,CW,3
ACL,Annual Catch Limit,2015,2816,Petrale Sole,CW,3
ACL,Annual Catch Limit,2020,2845,Petrale Sole,CW,3
ACL,Annual Catch Limit,2012,1160,Petrale Sole,CW,3
ACL,Annual Catch Limit,2017,3136,Petrale Sole,CW,3
ACL,Annual Catch Limit,2013,2592,Petrale Sole,CW,3
ACL,Annual Catch Limit,2022,3660,Petrale Sole,CW,3
ACL,Annual Catch Limit,2021,4115,Petrale Sole,CW,3
ACL,Annual Catch Limit,2023,3485,Petrale Sole,CW,3
ACL,Annual Catch Limit,2024,3285,Petrale Sole,CW,3
TRI,Tribal,2011,45.4,Petrale Sole,CW,4
TRI,Tribal,2018,220,Petrale Sole,CW,4
TRI,Tribal,2014,220,Petrale Sole,CW,4
TRI,Tribal,2016,220,Petrale Sole,CW,4
TRI,Tribal,2019,290,Petrale Sole,CW,4
TRI,Tribal,2015,220,Petrale Sole,CW,4
TRI,Tribal,2020,290,Petrale Sole,CW,4
TRI,Tribal,2012,45.4,Petrale Sole,CW,4
TRI,Tribal,2017,220,Petrale Sole,CW,4
TRI,Tribal,2013,220,Petrale Sole,CW,4
TRI,Tribal,2022,350,Petrale Sole,CW,4
TRI,Tribal,2021,350,Petrale Sole,CW,4
TRI,Tribal,2023,350,Petrale Sole,CW,4
TRI,Tribal,2024,350,Petrale Sole,CW,4
EFP,EFP,2011,2,Petrale Sole,CW,5
EFP,EFP,2018,0,Petrale Sole,CW,5
EFP,EFP,2014,0,Petrale Sole,CW,5
EFP,EFP,2016,0,Petrale Sole,CW,5
EFP,EFP,2019,0.1,Petrale Sole,CW,5
EFP,EFP,2015,0,Petrale Sole,CW,5
EFP,EFP,2020,0.1,Petrale Sole,CW,5
EFP,EFP,2012,2,Petrale Sole,CW,5
EFP,EFP,2017,0,Petrale Sole,CW,5
EFP,EFP,2013,0,Petrale Sole,CW,5
EFP,EFP,2022,0.1,Petrale Sole,CW,5
EFP,EFP,2021,0.1,Petrale Sole,CW,5
EFP,EFP,2023,1,Petrale Sole,CW,5
EFP,EFP,2024,1,Petrale Sole,CW,5
RSCH,Research,2011,17,Petrale Sole,CW,6
RSCH,Research,2018,17.7,Petrale Sole,CW,6
RSCH,Research,2014,11.6,Petrale Sole,CW,6
RSCH,Research,2016,14.2,Petrale Sole,CW,6
RSCH,Research,2019,24.1,Petrale Sole,CW,6
