"Year","Adopted OFL (mt)","Adopted ABC (mt)","Adopted ACL (mt)","Assumed removals (mt)","OFL (mt)","Buffer","ABC","ACL","Spawning Output","Fraction Unfished"
"2023","3763","3485","3485","3485","-","-","-","-","7.69","0.336"
"2024","3563","3285","3285","3285","-","-","-","-","6.70","0.293"
"2025","-","-","-","-","2518","0.935","2354","2354","5.85","0.255"
"2026","-","-","-","-","2424","0.930","2255","2238","5.56","0.243"
"2027","-","-","-","-","2422","0.926","2242","2217","5.48","0.239"
"2028","-","-","-","-","2475","0.922","2282","2263","5.55","0.242"
"2029","-","-","-","-","2549","0.917","2337","2334","5.69","0.248"
"2030","-","-","-","-","2618","0.913","2390","2390","5.85","0.255"
"2031","-","-","-","-","2672","0.909","2429","2429","5.99","0.261"
"2032","-","-","-","-","2709","0.904","2449","2449","6.09","0.266"
"2033","-","-","-","-","2733","0.900","2460","2460","6.16","0.269"
"2034","-","-","-","-","2749","0.896","2463","2463","6.20","0.271"
